brand,model,age,km_driven,transmission,owner,fuel_type,posted_date,ask_price,log_price
Honda,Other_Models,13,68000,Manual,first,Petrol,Nov-24,235000,12.367340793126296
Honda,Other_Models,18,115000,Manual,second,Petrol,Oct-24,265000,12.487485104968359
Hyundai,i10,14,50000,Manual,second,Petrol,Nov-24,150000,11.918390573078392
Honda,Other_Models,8,98000,Manual,first,Diesel,Nov-24,600000,13.304684934198283
Other_Brands,Other_Models,6,62000,Automatic,first,Diesel,Nov-24,3099000,14.946590036769885
Tata,Other_Models,6,67000,Manual,second,Diesel,Nov-24,899000,13.709038313453757
Tata,Other_Models,10,69000,Manual,second,Petrol,Nov-24,340000,12.736700896592344
Maruti Suzuki,Eeco,4,49000,Manual,first,Petrol,Oct-24,540000,13.199324418540456
Maruti Suzuki,Swift-Dzire,12,162000,Manual,second,Diesel,Nov-24,390000,12.873902018105829
Toyota,Fortuner,7,86000,Manual,first,Diesel,Nov-24,2499000,14.73140120981709
Hyundai,Creta,2,35000,Automatic,first,Diesel,Nov-24,2025000,14.521080258522776
Maruti Suzuki,Wagon-R,11,38000,Manual,first,Petrol,Nov-24,370000,12.821258284620408
Hyundai,Creta,5,105000,Manual,first,Diesel,Nov-24,1050000,13.864300722133706
Toyota,Other_Models,3,25500,Automatic,first,Diesel,Nov-24,4199999,15.25059484515833
Maruti Suzuki,Other_Models,10,67000,Manual,first,Petrol,Nov-24,450000,13.017002861746503
Volkswagen,VentoTest,9,78000,Automatic,first,Petrol,Nov-24,555000,13.226723392728571
Toyota,Innova,19,191000,Manual,first,Diesel,Nov-24,295000,12.594730635321957
Hyundai,Creta,7,66000,Automatic,second,Petrol,Oct-24,1075000,13.8878312195439
Toyota,Innova Crysta,9,75000,Manual,first,Diesel,Nov-24,1480000,14.207552645740298
Maruti Suzuki,Vitara-Brezza,7,85600,Manual,first,Diesel,Nov-24,750000,13.527828485512494
Maruti Suzuki,Ertiga,13,155000,Manual,second,Diesel,Nov-24,650000,13.38472764187182
Maruti Suzuki,Ciaz,10,68000,Manual,first,Petrol,Nov-24,330000,12.706847933442663
Other_Brands,Ecosport,7,73000,Automatic,first,Petrol,Nov-24,590000,13.287877815881902
Honda,City,14,74000,Automatic,second,Petrol,Nov-24,375000,12.834681304952548
Maruti Suzuki,Swift,7,65000,Automatic,second,Petrol,Nov-24,590000,13.287877815881902
Audi,Other_Models,4,50000,Automatic,first,Petrol,Nov-24,3250000,14.994165554305921
Honda,City,11,61000,Automatic,first,Petrol,Nov-24,685000,13.437174117244362
Maruti Suzuki,Swift,20,98000,Manual,second,Petrol,Nov-24,160000,11.982929094215963
Mahindra,XUV500,8,76000,Automatic,second,Diesel,Nov-24,760000,13.541073712262515
Mahindra,XUV500,9,89100,Manual,second,Diesel,Nov-24,760000,13.541073712262515
Volkswagen,Polo,7,73961,Automatic,second,Petrol,Nov-24,935000,13.748301808270824
Other_Brands,Endeavour,6,60000,Automatic,first,Diesel,Nov-24,2740000,14.823468478364253
Mahindra,Thar,7,46850,Manual,second,Diesel,Nov-24,880000,13.687677186454389
Mahindra,Thar,2,28000,Automatic,first,Diesel,Nov-24,1785000,14.394928973195876
Mahindra,XUV500,12,99000,Manual,second,Diesel,Nov-24,470000,13.060487973686241
Maruti Suzuki,Other_Models,16,56328,Manual,first,Petrol,Nov-24,265000,12.487485104968359
Audi,Other_Models,10,42000,Automatic,second,Diesel,Nov-24,1050000,13.864300722133706
Hyundai,Creta,7,127000,Manual,first,Diesel,Nov-24,995000,13.81049801614073
Mercedes-Benz,C-Class,12,78000,Automatic,second,Petrol,Nov-24,790000,13.579788224443204
Toyota,Innova Crysta,3,31000,Automatic,first,Diesel,Nov-24,2700000,14.808762330974558
Other_Brands,Other_Models,5,57000,Automatic,first,Diesel,Nov-24,3045000,14.929011459126134
Other_Brands,Endeavour,8,70000,Automatic,second,Diesel,Oct-24,2650000,14.790070197962406
Honda,City,9,93000,Automatic,second,Petrol,Nov-24,575000,13.262125319779487
Hyundai,Eon,11,41453,Manual,second,Petrol,Nov-24,220000,12.301382825334498
Tata,Other_Models,4,33000,Manual,first,Petrol,Nov-24,545000,13.208541073645382
Maruti Suzuki,Celerio,7,37000,Automatic,second,Petrol,Nov-24,460000,13.038981768465277
Volkswagen,Polo,10,65000,Manual,first,Petrol,Nov-24,375000,12.834681304952548
Hyundai,Grand i10 Nios,3,36000,Automatic,first,Petrol,Nov-24,690000,13.444446876573442
Toyota,Other_Models,9,130000,Automatic,second,Petrol,Oct-24,1399999,14.151982080299518
Maruti Suzuki,Alto-800,12,100000,Manual,second,Petrol,Nov-24,160000,11.982929094215963
BMW,Other_Models,9,93000,Automatic,first,Diesel,Nov-24,2100000,14.557447902693651
Hyundai,Creta,6,48000,Manual,first,Diesel,Nov-24,1065000,13.878485357125662
BMW,Other_Models,9,63000,Automatic,second,Diesel,Nov-24,2290000,14.644062375530423
Hyundai,i20,10,85000,Manual,second,Diesel,Nov-24,560000,13.235692062711331
Other_Brands,Rapid,8,70000,Automatic,first,Diesel,Nov-24,750000,13.527828485512494
Hyundai,Verna,12,59000,Manual,second,Petrol,Nov-24,425000,12.959844447906553
Mahindra,Other_Models,10,72000,Automatic,second,Diesel,Nov-24,390000,12.873902018105829
Mercedes-Benz,E-Class,13,74000,Automatic,second,Diesel,Nov-24,1295000,14.074021253115776
Honda,City,7,78127,Manual,first,Diesel,Nov-24,785000,13.573438996764546
Maruti Suzuki,Ciaz,5,26000,Manual,first,Petrol,Nov-24,775000,13.560618308335483
Other_Brands,KWID,8,65663,Automatic,second,Petrol,Nov-24,325000,12.691580461311874
BMW,5 Series,7,24000,Automatic,first,Petrol,Nov-24,4199000,15.25035695966633
Toyota,Fortuner,10,160000,Automatic,second,Diesel,Nov-24,1250000,14.038654109278484
Volkswagen,Polo,5,79000,Manual,second,Petrol,Nov-24,725000,13.493926933836812
Maruti Suzuki,Baleno,7,31000,Manual,first,Petrol,Nov-24,549000,13.215853720491667
Hyundai,Creta,6,55000,Automatic,first,Diesel,Nov-24,1299999,14.0778740532007
Maruti Suzuki,Other_Models,10,89000,Manual,second,Diesel,Nov-24,431000,12.973863369085885
Hyundai,Other_Models,3,37000,Automatic,first,Diesel,Nov-24,1820000,14.414347059052979
Maruti Suzuki,Other_Models,9,56000,Manual,first,Petrol,Nov-24,275000,12.524526376648708
Mercedes-Benz,Other_Models,10,75000,Automatic,first,Diesel,Nov-24,2450000,14.71159858252091
Honda,Other_Models,11,32001,Manual,second,Petrol,Nov-24,295000,12.594730635321957
Maruti Suzuki,Swift-Dzire,1,22000,Manual,first,Petrol,Oct-24,260000,12.468436909997665
Hyundai,i20,15,45000,Manual,second,Petrol,Nov-24,150000,11.918390573078392
Toyota,Fortuner,4,60000,Automatic,first,Petrol,Sep-24,3200000,14.978661367769956
Other_Brands,Seltos,4,41000,Automatic,first,Petrol,Oct-24,1390000,14.144814305106875
Volkswagen,Polo,10,51000,Manual,second,Petrol,Nov-24,499999,13.12236137740233
Toyota,Other_Models,4,28000,Automatic,second,Petrol,Nov-24,750000,13.527828485512494
BMW,5 Series,6,38000,Automatic,first,Diesel,Nov-24,4450000,15.308414654142423
Other_Brands,Rapid,6,64800,Automatic,first,Diesel,Nov-24,799000,13.591116224748411
Other_Brands,Compass,3,17300,Automatic,first,Petrol,Oct-24,1995000,14.506154608306101
Volkswagen,VentoTest,12,38000,Manual,first,Petrol,Nov-24,292000,12.584509081250419
Honda,City,14,95000,Automatic,second,Petrol,Nov-24,280000,12.542544882151386
Honda,Other_Models,13,72000,Manual,first,Petrol,Nov-24,165000,12.013700752882718
Maruti Suzuki,Ertiga,9,135000,Manual,second,Diesel,Nov-24,875000,13.681979165339751
Toyota,Other_Models,13,135000,Manual,second,Diesel,Nov-24,395000,12.886641043883259
Volkswagen,VentoTest,6,160000,Manual,first,Diesel,Nov-24,695000,13.45166712454693
Tata,Other_Models,3,14000,Automatic,first,Diesel,Oct-24,1875000,14.444119217386648
Other_Brands,Seltos,5,50200,Automatic,first,Petrol,Nov-24,1300000,14.077874822431765
Maruti Suzuki,Alto-800,11,47000,Manual,first,Petrol,Nov-24,255000,12.449018824140563
Audi,Other_Models,10,42000,Automatic,second,Diesel,Nov-24,1050000,13.864300722133706
Honda,City,14,59600,Manual,second,Petrol,Nov-24,210000,12.254862809699606
Maruti Suzuki,Ritz,15,8000,Automatic,second,Petrol,Nov-24,185000,12.128111104060462
Maruti Suzuki,Wagon-R,2,30000,Manual,first,Petrol,Nov-24,675000,13.422467969854667
Other_Brands,KWID,8,54000,Automatic,second,Petrol,Nov-24,365000,12.80765263256463
Other_Brands,Other_Models,14,100000,Automatic,second,Diesel,Nov-24,295000,12.594730635321957
Mahindra,XUV500,8,48000,Automatic,first,Diesel,Nov-24,1199999,13.997831281424547
Hyundai,Verna,12,150000,Automatic,second,Diesel,Nov-24,410000,12.92391243868049
Hyundai,Creta,9,63000,Manual,second,Petrol,Nov-24,650000,13.38472764187182
Honda,City,7,62000,Manual,first,Petrol,Nov-24,695000,13.45166712454693
Honda,Amaze,4,56001,Automatic,first,Diesel,Nov-24,1125000,13.933293593620657
Toyota,Innova Crysta,8,25000,Manual,first,Diesel,Nov-24,1565000,14.26339638195639
